00307.jpg r:0.00010987019049935043, g:0.00012851046631112695, b:0.00014771646237932146
00308.jpg r:0.0002778768539428711, g:0.00027486280305311084, b:0.0002031672338489443
00309.jpg r:0.00011613292736001313, g:0.00014730985276401043, b:0.00017070099420379847
00310.jpg r:0.0005580711294896901, g:0.0005587677005678415, b:0.0005591695662587881
00311.jpg r:0.00021669731358997524, g:0.00021564046619459987, b:0.00022437769803218544
00313.jpg r:0.00013945733371656388, g:0.00014735813601873815, b:0.00015786418225616217
00314.jpg r:0.0004393142298795283, g:0.00044718547724187374, b:0.0004408304230310023
00315.jpg r:0.00022433682170230895, g:0.0002255920262541622, b:0.0002350890135858208
00316.jpg r:1.0993180694640614e-05, g:2.7160225727129728e-05, b:4.662155333789997e-05
00317.jpg r:0.000338583457050845, g:0.0003610627609305084, b:0.00039319030474871397
00318.jpg r:0.00014078844105824828, g:0.0001527428685221821, b:0.00014255584392230958
00319.jpg r:0.0006041344022378325, g:0.0008953174692578614, b:0.0012881667353212833
00320.jpg r:0.00017937396478373557, g:0.00014339704648591578, b:0.00011333442671457306
00321.jpg r:0.00022352681844495237, g:0.0002618367434479296, b:0.00029116187943145633
00323.jpg r:0.00036313157761469483, g:0.00033914257073774934, b:0.00024107118952088058
00324.jpg r:2.9290060410858132e-05, g:3.261001984355971e-05, b:3.3191208785865456e-05
00325.jpg r:4.214753346332145e-07, g:6.449596412494429e-07, b:5.932836302235955e-07
00326.jpg r:0.00025915264268405735, g:0.00027360254898667336, b:0.0002908527967520058
00327.jpg r:3.332308915560134e-05, g:3.956447835662402e-05, b:4.34718604083173e-05
00328.jpg r:0.00010353478864999488, g:9.087886428460479e-05, b:8.530665945727378e-05
00330.jpg r:8.0168763815891e-05, g:8.9465786004439e-05, b:9.617618343327194e-05
00331.jpg r:3.1352337828138843e-06, g:5.096391305414727e-06, b:5.482847882376518e-06
00332.jpg r:0.0001962151873158291, g:0.0002863973786588758, b:0.0004420648911036551
00333.jpg r:0.0006963543710298836, g:0.000931538874283433, b:0.0013567425776273012
00334.jpg r:0.00035518506774678826, g:0.0004191341286059469, b:0.0005425784038379788
00335.jpg r:0.0005094580701552331, g:0.0007167817675508559, b:0.0011831069132313132
00336.jpg r:5.931221676291898e-05, g:7.92961145634763e-05, b:0.00011985984747298062
00337.jpg r:6.077352009015158e-05, g:6.801632844144478e-05, b:7.86914024502039e-05
00339.jpg r:0.0002310489653609693, g:0.00031445574131794274, b:0.000436156231444329
00340.jpg r:0.0001864692021626979, g:0.0001990990131162107, b:0.0002201913157477975
00341.jpg r:6.699236109852791e-05, g:4.3987245589960366e-05, b:3.413883678149432e-05
